Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,fDOM QSU,fDOM RFU,Turbidity FNU,TSS mg/L,Battery V,Cable Pwr V
9/6/2020,12:15:00,0,DK,-2.67,-1.04,62.07,0,2.89,0.9
9/6/2020,12:30:00,0,DK,-2.61,-1.02,60.39,0,2.86,0.9
9/6/2020,12:45:00,0,DK,-2.31,-0.91,60.61,0,2.87,0.8
9/6/2020,13:00:00,0,DK,136.12,50.16,3.94,0,2.88,0
9/6/2020,13:15:00,0,DK,135.53,49.94,4.22,0,2.87,0
9/6/2020,13:30:00,0,DK,128.75,47.44,33.65,0,2.87,0
9/6/2020,13:45:00,0,DK,134.13,49.42,5.12,0,2.87,0
9/6/2020,14:00:00,0,DK,133.85,49.32,3.65,0,2.87,0
9/6/2020,14:15:00,0,DK,132.74,48.91,2.74,0,2.87,0
9/6/2020,14:30:00,0,DK,132.23,48.72,2.52,0,2.87,0
9/6/2020,14:45:00,0,DK,132.35,48.76,1.3,0,2.87,0
9/6/2020,15:00:00,0,DK,132.31,48.75,1.84,0,2.87,0
9/6/2020,15:15:00,0,DK,131.29,48.37,2.03,0,2.87,0
9/6/2020,15:30:00,0,DK,131.6,48.49,2.23,0,2.87,0
9/6/2020,15:45:00,0,DK,131.51,48.45,1.95,0,2.87,0
9/6/2020,16:00:00,0,DK,131.48,48.44,1.62,0,2.87,0
9/6/2020,16:15:00,0,DK,131.65,48.51,1.2,0,2.87,0
9/6/2020,16:30:00,0,DK,131.9,48.6,1.46,0,2.87,0
9/6/2020,16:45:00,0,DK,132.18,48.7,1.08,0,2.87,0
9/6/2020,17:00:00,0,DK,132.58,48.85,1.24,0,2.87,0
9/6/2020,17:15:00,0,DK,131.48,48.44,1.33,0,2.87,0
9/6/2020,17:30:00,0,DK,131.81,48.57,1.25,0,2.87,0
9/6/2020,17:45:00,0,DK,132,48.63,1.46,0,2.87,0
9/6/2020,18:00:00,0,DK,132.35,48.76,1.35,0,2.86,0
9/6/2020,18:15:00,0,DK,131.95,48.62,1.29,0,2.86,0
9/6/2020,18:30:00,0,DK,131.89,48.59,1.16,0,2.86,0
9/6/2020,18:45:00,0,DK,131.51,48.46,1.19,0,2.86,0
9/6/2020,19:00:00,0,DK,132.54,48.84,1.22,0,2.86,0
9/6/2020,19:15:00,0,DK,132.73,48.9,1.87,0,2.86,0
9/6/2020,19:30:00,0,DK,132.92,48.97,1.43,0,2.86,0
9/6/2020,19:45:00,0,DK,132.61,48.86,1.98,0,2.86,0
9/6/2020,20:00:00,0,DK,132.1,48.67,3.7,0,2.86,0
9/6/2020,20:15:00,0,DK,131.11,48.31,1.58,0,2.86,0
9/6/2020,20:30:00,0,DK,132.2,48.71,1.38,0,2.86,0
9/6/2020,20:45:00,0,DK,132.58,48.85,1.66,0,2.86,0
9/6/2020,21:00:00,0,DK,132.67,48.88,2.12,0,2.86,0
9/6/2020,21:15:00,0,DK,131.45,48.43,1.51,0,2.86,0
9/6/2020,21:30:00,0,DK,132.12,48.68,1.54,0,2.86,0
9/6/2020,21:45:00,0,DK,132.34,48.76,1.49,0,2.86,0
9/6/2020,22:00:00,0,DK,132.05,48.65,1.47,0,2.86,0
9/6/2020,22:15:00,0,DK,133.42,49.16,1.6,0,2.86,0
9/6/2020,22:30:00,0,DK,132.41,48.79,1.51,0,2.85,0
9/6/2020,22:45:00,0,DK,132.74,48.91,1.32,0,2.85,0
9/6/2020,23:00:00,0,DK,132.42,48.79,1.44,0,2.85,0
9/6/2020,23:15:00,0,DK,132.49,48.82,1.48,0,2.85,0
9/6/2020,23:30:00,0,DK,132.48,48.81,1.6,0,2.85,0
9/6/2020,23:45:00,0,DK,132.25,48.73,1.55,0,2.85,0
9/7/2020,0:00:00,0,DK,132.04,48.65,1.62,0,2.85,0
9/7/2020,0:15:00,0,DK,132.38,48.78,1.72,0,2.85,0
9/7/2020,0:30:00,0,DK,132.36,48.77,1.83,0,2.85,0
9/7/2020,0:45:00,0,DK,132.33,48.76,1.74,0,2.85,0
9/7/2020,1:00:00,0,DK,132.62,48.86,1.9,0,2.85,0
9/7/2020,1:15:00,0,DK,132.08,48.67,1.95,0,2.85,0
9/7/2020,1:30:00,0,DK,131.95,48.62,2.06,0,2.85,0
9/7/2020,1:45:00,0,DK,132.13,48.69,2.26,0,2.85,0
9/7/2020,2:00:00,0,DK,131.97,48.62,2.15,0,2.85,0
9/7/2020,2:15:00,0,DK,131.34,48.39,2.41,0,2.85,0
9/7/2020,2:30:00,0,DK,131.71,48.53,2.57,0,2.85,0
9/7/2020,2:45:00,0,DK,131.83,48.57,2.67,0,2.85,0
9/7/2020,3:00:00,0,DK,131.87,48.59,2.79,0,2.85,0
9/7/2020,3:15:00,0,DK,130.62,48.13,2.74,0,2.84,0
9/7/2020,3:30:00,0,DK,131.36,48.4,2.69,0,2.84,0
9/7/2020,3:45:00,0,DK,130.97,48.26,2.84,0,2.85,0
9/7/2020,4:00:00,0,DK,130.85,48.21,3.01,0,2.84,0
9/7/2020,4:15:00,0,DK,130.82,48.2,3.14,0,2.84,0
9/7/2020,4:30:00,0,DK,131.38,48.41,2.67,0,2.84,0
9/7/2020,4:45:00,0,DK,131.53,48.46,2.92,0,2.84,0
9/7/2020,5:00:00,0,DK,131.6,48.49,2.65,0,2.84,0
9/7/2020,5:15:00,0,DK,132.05,48.65,2.58,0,2.84,0
9/7/2020,5:30:00,0,DK,132.66,48.88,2.08,0,2.84,0
9/7/2020,5:45:00,0,DK,132.65,48.87,2.25,0,2.84,0
9/7/2020,6:00:00,0,DK,132.47,48.81,2.27,0,2.84,0
9/7/2020,6:15:00,0,DK,131.8,48.56,2.25,0,2.84,0
9/7/2020,6:30:00,0,DK,132,48.64,2.02,0,2.84,0
9/7/2020,6:45:00,0,DK,131.35,48.4,2.41,0,2.84,0
9/7/2020,7:00:00,0,DK,131.62,48.5,2.04,0,2.84,0
9/7/2020,7:15:00,0,DK,131.64,48.5,1.89,0,2.84,0
9/7/2020,7:30:00,0,DK,131.52,48.46,1.76,0,2.84,0
9/7/2020,7:45:00,0,DK,131.61,48.49,2.99,0,2.84,0
9/7/2020,8:00:00,0,DK,131.99,48.63,1.6,0,2.84,0
9/7/2020,8:15:00,0,DK,131.91,48.6,1.75,0,2.84,0
9/7/2020,8:30:00,0,DK,131.69,48.52,1.59,0,2.84,0
9/7/2020,8:45:00,0,DK,132.27,48.73,1.53,0,2.84,0
9/7/2020,9:00:00,0,DK,132.68,48.89,1.45,0,2.83,0
9/7/2020,9:15:00,0,DK,132.91,48.97,1.59,0,2.84,0
9/7/2020,9:30:00,0,DK,135.84,50.05,1.51,0,2.83,0
9/7/2020,9:45:00,0,DK,132.5,48.82,1.69,0,2.84,0
9/7/2020,10:00:00,0,DK,132.56,48.84,1.76,0,2.84,0
9/7/2020,10:15:00,0,DK,133.27,49.1,1.61,0,2.83,0
9/7/2020,10:30:00,0,DK,133.2,49.08,1.52,0,2.83,0
9/7/2020,10:45:00,0,DK,133.27,49.1,1.47,0,2.83,0
